suicides/100k pop,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,sex_female,sex_male,age_15-24 years,age_25-34 years,age_35-54 years,age_5-14 years,age_55-74 years,age_75+ years
18.88,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,0,1,0,0,0,0,0,1
7.66,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,0,1,0,0,1,0,0,0
6.25,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,0,1,0,0,0,0,1,0
5.23,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,1,0,0,0,0,0,0,1
5.22,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,0,1,0,1,0,0,0,0
4.63,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,1,0,1,0,0,0,0,0
4.51,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,0,1,1,0,0,0,0,0
4.36,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,1,0,0,1,0,0,0,0
4.07,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,1,0,0,0,0,0,1,0
3.57,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,1,0,0,0,1,0,0,0
1.47,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,0,1,0,0,0,1,0,0
0.0,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,1,0,0,0,0,1,0,0
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,1,0,1,0,0,0,0,0
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,1,0,0,1,0,0,0,0
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,1,0,0,0,1,0,0,0
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,1,0,0,0,0,1,0,0
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,1,0,0,0,0,0,1,0
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,1,0,0,0,0,0,0,1
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,0,1,1,0,0,0,0,0
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,0,1,0,1,0,0,0,0
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,0,1,0,0,1,0,0,0
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,0,1,0,0,0,1,0,0
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,0,1,0,0,0,0,1,0
0.0,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,0,1,0,0,0,0,0,1
8.27,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,0,1,0,0,0,0,1,0
5.38,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,0,1,0,0,1,0,0,0
5.01,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,0,1,0,1,0,0,0,0
3.94,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,0,1,0,0,0,0,0,1
3.58,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,0,1,1,0,0,0,0,0
3.27,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,1,0,0,1,0,0,0,0
3.1,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,1,0,0,0,0,0,0,1
3.04,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,1,0,0,0,1,0,0,0
2.9,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,1,0,0,0,0,0,1,0
2.28,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,1,0,1,0,0,0,0,0
0.89,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,1,0,0,0,0,1,0,0
0.0,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,0,1,0,0,0,1,0,0
39.68,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,0,1,0,0,0,0,0,1
19.54,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,0,1,1,0,0,0,0,0
19.17,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,0,1,0,0,0,0,1,0
15.74,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,0,1,0,1,0,0,0,0
13.34,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,0,1,0,0,1,0,0,0
5.35,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,1,0,1,0,0,0,0,0
3.85,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,1,0,0,0,0,0,1,0
3.52,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,1,0,0,0,1,0,0,0
3.42,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,1,0,0,1,0,0,0,0
2.74,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,1,0,0,0,0,0,0,1
1.11,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,0,1,0,0,0,1,0,0
0.76,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,1,0,0,0,0,1,0,0
35.43,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,0,1,0,0,0,0,0,1
17.07,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,0,1,1,0,0,0,0,0
16.96,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,0,1,0,0,0,0,1,0
15.68,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,0,1,0,1,0,0,0,0
12.87,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,0,1,0,0,1,0,0,0
4.43,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,1,0,1,0,0,0,0,0
4.04,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,1,0,0,1,0,0,0,0
3.56,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,1,0,0,0,0,0,1,0
3.37,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,1,0,0,0,1,0,0,0
2.67,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,1,0,0,0,0,0,0,1
1.27,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,0,1,0,0,0,1,0,0
1.0,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,-0.141,0.8809999999999999,1,0,0,0,0,1,0,0
32.19,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,0,1,0,0,0,0,0,1
18.33,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,0,1,1,0,0,0,0,0
17.6,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,0,1,0,0,0,0,1,0
16.74,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,0,1,0,1,0,0,0,0
12.94,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,0,1,0,0,1,0,0,0
5.42,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,1,0,1,0,0,0,0,0
3.71,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,1,0,0,0,1,0,0,0
3.5,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,1,0,0,0,0,0,1,0
3.03,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,1,0,0,0,0,0,0,1
2.97,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,1,0,0,1,0,0,0,0
1.1,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,0,1,0,0,0,1,0,0
0.58,5.961,10.048,0.892,67.06,0.6779999999999999,-0.132,0.865,1,0,0,0,0,1,0,0
27.09,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,0,1,0,0,0,0,0,1
17.72,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,0,1,1,0,0,0,0,0
16.17,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,0,1,0,0,0,0,1,0
15.7,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,0,1,0,1,0,0,0,0
11.87,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,0,1,0,0,1,0,0,0
4.91,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,1,0,1,0,0,0,0,0
3.56,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,1,0,0,0,0,0,1,0
3.29,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,1,0,0,1,0,0,0,0
3.17,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,1,0,0,0,1,0,0,0
2.06,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,1,0,0,0,0,0,0,1
0.96,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,0,1,0,0,0,1,0,0
0.82,6.4239999999999995,9.977,0.919,67.18,0.637,-0.13,0.885,1,0,0,0,0,1,0,0
31.35,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,0,1,0,0,0,0,0,1
19.77,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,0,1,1,0,0,0,0,0
14.98,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,0,1,0,1,0,0,0,0
14.49,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,0,1,0,0,0,0,1,0
12.33,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,0,1,0,0,1,0,0,0
4.47,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,1,0,1,0,0,0,0,0
3.37,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,1,0,0,0,1,0,0,0
3.15,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,1,0,0,1,0,0,0,0
3.08,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,1,0,0,0,0,0,1,0
2.75,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,1,0,0,0,0,0,0,1
0.92,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,0,1,0,0,0,1,0,0
0.58,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,1,0,0,0,0,1,0,0
26.38,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,0,1,0,0,0,0,0,1
19.96,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,0,1,1,0,0,0,0,0
15.65,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,0,1,0,1,0,0,0,0
14.92,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,0,1,0,0,0,0,1,0
10.64,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,0,1,0,0,1,0,0,0
5.1,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,1,0,1,0,0,0,0,0
3.21,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,1,0,0,0,1,0,0,0
3.16,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,1,0,0,1,0,0,0,0
2.85,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,1,0,0,0,0,0,1,0
2.38,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,1,0,0,0,0,0,0,1
0.84,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,1,0,0,0,0,1,0,0
0.78,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,0,1,0,0,0,1,0,0
32.68,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,0,1,0,0,0,0,0,1
21.4,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,0,1,1,0,0,0,0,0
18.85,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,0,1,0,1,0,0,0,0
15.88,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,0,1,0,0,0,0,1,0
11.44,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,0,1,0,0,1,0,0,0
6.03,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,1,0,1,0,0,0,0,0
3.28,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,1,0,0,0,1,0,0,0
3.24,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,1,0,0,0,0,0,1,0
3.16,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,1,0,0,1,0,0,0,0
2.57,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,1,0,0,0,0,0,0,1
0.8,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,0,1,0,0,0,1,0,0
0.49,6.468,10.091000000000001,0.902,67.66,0.747,-0.14800000000000002,0.8170000000000001,1,0,0,0,0,1,0,0
24.03,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,0,1,0,0,0,0,0,1
19.96,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,0,1,1,0,0,0,0,0
15.25,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,0,1,0,1,0,0,0,0
13.75,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,0,1,0,0,0,0,1,0
12.2,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,0,1,0,0,1,0,0,0
4.93,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,1,0,1,0,0,0,0,0
3.16,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,1,0,0,1,0,0,0,0
3.08,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,1,0,0,0,1,0,0,0
3.01,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,1,0,0,0,0,0,1,0
2.23,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,1,0,0,0,0,0,0,1
0.91,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,1,0,0,0,0,1,0,0
0.91,6.582000000000001,10.103,0.91,67.84,0.737,-0.13,0.823,0,1,0,0,0,1,0,0
27.16,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,0,1,0,0,0,0,0,1
21.13,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,0,1,1,0,0,0,0,0
16.2,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,0,1,0,1,0,0,0,0
13.72,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,0,1,0,0,0,0,1,0
12.73,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,0,1,0,0,1,0,0,0
6.02,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,1,0,1,0,0,0,0,0
3.77,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,1,0,0,0,1,0,0,0
3.66,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,1,0,0,1,0,0,0,0
3.15,6.671,10.067,0.9179999999999999,68.02,0.745,-0.16399999999999998,0.8540000000000001,1,0,0,0,0,0,1,0
